단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 보증금(만원),평균 월세금(만원)
목동신시가지9,전세,71,서울특별시 양천구 신정동,312,202504,1987,60500,0
목동우성2,전세,113,서울특별시 양천구 신정동,337,202504,2000,63000,0
신호,전세,84,서울특별시 양천구 신정동,948-24,202504,1997,40000,0
래미안힐스테이트고덕,전세,59,서울특별시 강동구 고덕동,688,202504,2016,51740,0
주공17단지,전세,49,서울특별시 도봉구 창동,38,202504,1989,23000,0
창동주공3단지(해등마을),월세,41,서울특별시 도봉구 창동,347,202504,1991,2000,80
창동주공3단지(해등마을),월세,45,서울특별시 도봉구 창동,347,202504,1991,4000,58
창동주공1단지,전세,49,서울특별시 도봉구 창동,305,202504,1990,29500,0
대우그린,전세,84,서울특별시 도봉구 창동,814,202504,2000,45000,0
금정우리가,전세,29,서울특별시 강동구 암사동,451-16,202504,2018,25540,0
신당KCC스위첸,전세,59,서울특별시 중구 신당동,856,202504,2019,67000,0
두산,월세,59,서울특별시 노원구 상계동,1110,202504,1994,8000,80
목동신시가지6,전세,95,서울특별시 양천구 목동,911,202504,1986,95000,0
롯데캐슬,월세,84,서울특별시 양천구 신월동,1063,202504,2014,5000,200
목동센트럴아이파크위브3단지,월세,59,서울특별시 양천구 신월동,1077,202504,2020,30000,115
나산,전세,84,서울특별시 양천구 신월동,217-2,202504,1997,33000,0
신동아아파트1,전세,84,서울특별시 도봉구 방학동,271-1,202504,1987,31000,0
우장산역해링턴타워,월세,23,서울특별시 강서구 화곡동,1170,202504,2021,5112,34
롯데캐슬,전세,84,서울특별시 중구 황학동,2545,202504,2008,67000,0
현대1,월세,84,서울특별시 도봉구 쌍문동,54,202504,1990,3000,130
한양2,전세,59,서울특별시 도봉구 쌍문동,59,202504,1988,24700,0
삼정아트테라스정동,전세,18,서울특별시 중구 정동,37,202504,2020,30000,0
삼익세라믹,전세,42,서울특별시 도봉구 쌍문동,56,202504,1988,19000,0
삼익가든,전세,72,서울특별시 강동구 명일동,270,202504,1984,44000,0
가양도시개발9-2단지,전세,39,서울특별시 강서구 가양동,1490,202504,1993,30000,0
강서한강자이,전세,59,서울특별시 강서구 가양동,1500,202504,2013,67500,0
우장산힐스테이트,월세,59,서울특별시 강서구 내발산동,657,202504,2005,15000,180
청솔,전세,39,서울특별시 강서구 방화동,832,202504,1994,28000,0
경남아너스빌(1356-0),전세,84,서울특별시 강북구 미아동,1356,202504,2003,44500,0
삼각산아이원,전세,114,서울특별시 강북구 미아동,1357,202504,2003,46500,0
동아1,월세,84,서울특별시 구로구 신도림동,643,202504,1999,10000,208
구로두산,전세,51,서울특별시 구로구 구로동,1265,202504,1998,35000,0
동도아르떼빌,전세,83,서울특별시 구로구 구로동,106,202504,2003,41500,0
금호어울림,전세,104,서울특별시 송파구 거여동,593,202504,2003,70000,0
송파위례리슈빌,전세,105,서울특별시 송파구 거여동,654,202504,2021,91000,0
e편한세상송파파크센트럴,전세,84,서울특별시 송파구 거여동,696,202504,2021,78667,0
상계주공10(고층),전세,58,서울특별시 노원구 상계동,666,202504,1988,23750,0
리첸시아용산A,월세,107,서울특별시 용산구 원효로1가,133-3,202504,2010,50000,180
고척파크푸르지오,월세,59,서울특별시 구로구 고척동,339,202504,2009,5500,60
산업인,전세,47,서울특별시 구로구 고척동,57-9,202504,1977,12000,0
리버힐삼성,전세,114,서울특별시 용산구 산천동,193,202504,2001,80000,0
꿈의숲아이파크,전세,59,서울특별시 성북구 장위동,323,202504,2022,50750,0
참누리아파트,전세,84,서울특별시 성북구 장위동,316-5,202504,2006,43000,0
하버라인3단지,전세,59,서울특별시 구로구 항동,242,202504,2019,43000,0
꿈의숲푸르지오,전세,84,서울특별시 성북구 하월곡동,228,202504,2010,46500,0
그란츠리버파크,전세,36,서울특별시 강동구 성내동,611,202504,2025,40000,0
성내3차e-편한세상,전세,84,서울특별시 강동구 성내동,600,202504,2004,52000,0
우림카이저팰리스,전세,84,서울특별시 성북구 종암동,132,202504,2008,53000,0
독산동한양수자인,월세,67,서울특별시 금천구 독산동,1144,202504,2011,20000,100
독산역롯데캐슬,월세,84,서울특별시 금천구 독산동,1160,202504,2021,24826,68
삼성래미안,전세,59,서울특별시 용산구 도원동,23,202504,2001,60333,0
송파더플래티넘,전세,73,서울특별시 송파구 오금동,67,202504,2024,71000,0
우정에쉐르(102동),전세,84,서울특별시 강동구 천호동,163-14,202504,2004,45000,0
길음뉴타운2단지푸르지오,전세,114,서울특별시 성북구 길음동,1280,202504,2005,60500,0
내이처해밀,월세,14,서울특별시 영등포구 영등포동1가,145,202504,2012,8233,25
시범,전세,118,서울특별시 영등포구 여의도동,50,202504,1971,56500,0
