단지명,전용면적(㎡),거래구분,번지,평균 거래금액(만원),시군구,계약년월,건축년도
관악드림(동아),114,매매,1712,103000,서울특별시 관악구 봉천동,202505,개인
관악드림(삼성),59,매매,1712,74500,서울특별시 관악구 봉천동,202505,개인
관악드림(삼성),84,매매,1712,88500,서울특별시 관악구 봉천동,202505,개인
관악드림(삼성),114,매매,1712,94800,서울특별시 관악구 봉천동,202505,개인
관악산벽산타운5,59,매매,1013,42500,서울특별시 금천구 시흥동,202505,개인
관악산벽산타운5,84,매매,1013,53543,서울특별시 금천구 시흥동,202505,개인
관악산벽산타운5,114,매매,1013,62333,서울특별시 금천구 시흥동,202505,개인
관악산휴먼시아1단지,59,매매,1735-1,62500,서울특별시 관악구 신림동,202505,개인
관악산휴먼시아1단지,84,매매,1735-1,71000,서울특별시 관악구 신림동,202505,개인
관악산휴먼시아2단지,59,매매,1735,54730,서울특별시 관악구 신림동,202505,개인
관악산휴먼시아2단지,84,매매,1735,68167,서울특별시 관악구 신림동,202505,개인
관악산휴먼시아2단지,114,매매,1735,79500,서울특별시 관악구 신림동,202505,개인
관악유앤아이,84,매매,1727,85300,서울특별시 관악구 봉천동,202505,개인
관악청광플러스원,59,매매,1726,66500,서울특별시 관악구 봉천동,202505,개인
