단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 거래금액(만원)
개포자이프레지던스,매매,109,서울특별시 강남구 개포동,1284,202505,2023,460000
개포주공5단지,매매,53,서울특별시 강남구 개포동,187,202505,1983,269500
개포주공5단지,매매,74,서울특별시 강남구 개포동,187,202505,1983,317000
개포주공6단지,매매,60,서울특별시 강남구 개포동,185,202505,1983,295000
개포주공6단지,매매,73,서울특별시 강남구 개포동,185,202505,1983,320000
개포주공6단지,매매,83,서울특별시 강남구 개포동,185,202505,1983,339000
개포한신,매매,82,서울특별시 강남구 일원동,615-1,202505,1984,229000
개포한신,매매,107,서울특별시 강남구 일원동,615-1,202505,1984,252000
개화,매매,101,서울특별시 강서구 방화동,819,202505,1994,80067
개화,매매,133,서울특별시 강서구 방화동,819,202505,1994,92000
거성파스텔,매매,59,서울특별시 영등포구 양평동3가,90-1,202505,1999,94000
거성파스텔,매매,131,서울특별시 영등포구 양평동3가,90-1,202505,1999,137500
거성푸르뫼,매매,59,서울특별시 구로구 개봉동,60-101,202505,1993,40000
거성푸르뫼2,매매,59,서울특별시 구로구 개봉동,60-82,202505,1994,40000
거성학마을아파트,매매,59,서울특별시 도봉구 방학동,701-15,202505,1994,44800
거성학마을아파트,매매,84,서울특별시 도봉구 방학동,701-15,202505,1994,55000
거여1단지,매매,39,서울특별시 송파구 거여동,290,202505,1997,63500
거여1단지,매매,49,서울특별시 송파구 거여동,290,202505,1997,80250
거여1단지,매매,59,서울특별시 송파구 거여동,290,202505,1997,86333
거여4단지,매매,39,서울특별시 송파구 거여동,293,202505,1997,63000
거여4단지,매매,49,서울특별시 송파구 거여동,293,202505,1997,79250
거여4단지,매매,59,서울특별시 송파구 거여동,293,202505,1997,91500
거여5단지,매매,59,서울특별시 송파구 거여동,294,202505,1997,80333
거여5단지,매매,84,서울특별시 송파구 거여동,294,202505,1997,100000
거장카운티,매매,38,서울특별시 은평구 녹번동,182,202505,2020,49000
건영,매매,32,서울특별시 동작구 상도동,414,202505,1997,56775
건영,매매,45,서울특별시 노원구 하계동,271-3,202505,1988,40100
건영,매매,74,서울특별시 노원구 하계동,271-3,202505,1988,74800
건영,매매,84,서울특별시 성동구 송정동,90,202505,2000,96000
건영,매매,84,서울특별시 양천구 목동,928,202505,1994,71500
건영,매매,89,서울특별시 영등포구 신길동,364,202505,1985,93500
건영,매매,114,서울특별시 동작구 상도동,414,202505,1997,122250
건영(103동-106동),매매,84,서울특별시 동작구 노량진동,324,202505,1997,106250
건영1,매매,84,서울특별시 중랑구 상봉동,1,202505,1997,65000
건영1,매매,84,서울특별시 송파구 문정동,72-3,202505,1996,130000
건영2,매매,75,서울특별시 노원구 중계동,515-2,202505,1991,65000
건영2,매매,84,서울특별시 노원구 중계동,515-2,202505,1991,67000
건영2차아파트,매매,74,서울특별시 중랑구 상봉동,63,202505,1996,68000
건영2차아파트,매매,84,서울특별시 중랑구 상봉동,63,202505,1996,72000
건영3,매매,84,서울특별시 노원구 중계동,360-15,202505,1995,117333
건영4,매매,84,서울특별시 관악구 신림동,1702-1,202505,1997,64500
건영장미아파트,매매,59,서울특별시 노원구 공릉동,744,202505,1999,51500
건일팰리스,매매,84,서울특별시 서대문구 북아현동,1-52,202505,2004,61000
경남,매매,44,서울특별시 도봉구 쌍문동,73,202505,1988,24500
경남,매매,46,서울특별시 도봉구 쌍문동,73,202505,1988,30800
경남,매매,50,서울특별시 노원구 중계동,505,202505,1989,52000
경남,매매,52,서울특별시 중랑구 망우동,226,202505,1989,39000
경남,매매,59,서울특별시 중랑구 망우동,226,202505,1989,42500
경남,매매,59,서울특별시 광진구 자양동,641,202505,1999,92700
경남,매매,59,서울특별시 영등포구 신길동,67-1,202505,1999,85000
경남,매매,59,서울특별시 강남구 도곡동,967,202505,2005,183000
경남,매매,74,서울특별시 노원구 중계동,505,202505,1989,72500
경남,매매,81,서울특별시 중랑구 망우동,226,202505,1989,59000
경남,매매,84,서울특별시 영등포구 신길동,67-1,202505,1999,93000
경남,매매,114,서울특별시 노원구 중계동,505,202505,1989,97000
경남1,매매,123,서울특별시 강남구 개포동,649,202505,1984,325000
경남2,매매,71,서울특별시 구로구 고척동,306,202505,1999,54000
경남2차,매매,182,서울특별시 강남구 개포동,649,202505,1984,340000
경남아너스빌,매매,59,서울특별시 중랑구 면목동,1529,202505,2006,72962
경남아너스빌,매매,59,서울특별시 영등포구 영등포동7가,46-1,202505,1998,94933
경남아너스빌,매매,59,서울특별시 영등포구 양평동4가,51-1,202505,2000,79500
경남아너스빌,매매,59,서울특별시 광진구 자양동,666-28,202505,1997,89000
경남아너스빌,매매,60,서울특별시 은평구 구산동,224,202505,2004,50500
경남아너스빌,매매,70,서울특별시 영등포구 양평동4가,51-1,202505,2000,82500
경남아너스빌,매매,81,서울특별시 강남구 역삼동,722,202505,2002,152000
경남아너스빌,매매,81,서울특별시 강북구 미아동,796,202505,2008,68000
경남아너스빌,매매,84,서울특별시 양천구 신정동,1307,202505,2004,126500
경남아너스빌,매매,84,서울특별시 중랑구 면목동,1529,202505,2006,77850
경남아너스빌,매매,84,서울특별시 은평구 구산동,224,202505,2004,57050
경남아너스빌,매매,84,서울특별시 강남구 역삼동,722,202505,2002,149500
경남아너스빌,매매,96,서울특별시 양천구 신정동,1307,202505,2004,133833
경남아너스빌,매매,122,서울특별시 은평구 구산동,224,202505,2004,70000
경남아너스빌(1356-0),매매,114,서울특별시 강북구 미아동,1356,202505,2003,76000
경남아너스빌1차,매매,59,서울특별시 동작구 사당동,1134,202505,1997,78850
경남아너스빌201동,매매,84,서울특별시 서초구 서초동,1456-2,202505,2006,178000
경동윈츠리버,매매,56,서울특별시 동작구 본동,484,202505,2004,93250
경지Arium,매매,13,서울특별시 강동구 길동,413-11,202505,2019,17000
경지Arium,매매,14,서울특별시 강동구 길동,413-11,202505,2019,20000
경향파크,매매,84,서울특별시 은평구 구산동,162-1,202505,1989,44500
경향파크,매매,124,서울특별시 은평구 구산동,162-1,202505,1989,59000
경희궁롯데캐슬,매매,59,서울특별시 종로구 무악동,89,202505,2019,140000
경희궁롯데캐슬,매매,84,서울특별시 종로구 무악동,89,202505,2019,168500
경희궁의아침3단지,매매,174,서울특별시 종로구 내수동,72,202505,2004,220000
경희궁자이(2단지),매매,84,서울특별시 종로구 홍파동,199,202505,2017,248000
경희궁자이(2단지),매매,138,서울특별시 종로구 홍파동,199,202505,2017,330000
경희궁자이(3단지),매매,84,서울특별시 종로구 평동,233,202505,2017,232286
경희궁자이(4단지),매매,45,서울특별시 종로구 교북동,126,202505,2017,115000
계룡아파트,매매,59,서울특별시 금천구 독산동,332-14,202505,1998,48000
계룡아파트,매매,84,서울특별시 금천구 독산동,332-14,202505,1998,60000
고덕 아이파크,매매,59,서울특별시 강동구 고덕동,499,202505,2011,146450
고덕 아이파크,매매,84,서울특별시 강동구 고덕동,499,202505,2011,171000
고덕 아이파크,매매,114,서울특별시 강동구 고덕동,499,202505,2011,184500
고덕 아이파크,매매,115,서울특별시 강동구 고덕동,499,202505,2011,200000
고덕 아이파크,매매,145,서울특별시 강동구 고덕동,499,202505,2011,224000
고덕 아이파크,매매,177,서울특별시 강동구 고덕동,499,202505,2011,245000
고덕그라시움,매매,59,서울특별시 강동구 고덕동,693,202505,2019,160962
고덕그라시움,매매,73,서울특별시 강동구 고덕동,693,202505,2019,169412
고덕그라시움,매매,84,서울특별시 강동구 고덕동,693,202505,2019,208083
고덕그라시움,매매,97,서울특별시 강동구 고덕동,693,202505,2019,247000
고덕롯데캐슬베네루체,매매,59,서울특별시 강동구 상일동,514,202505,2019,125440
고덕롯데캐슬베네루체,매매,84,서울특별시 강동구 상일동,514,202505,2019,146571
고덕리엔파크3단지,매매,59,서울특별시 강동구 상일동,490,202505,2011,89400
고덕센트럴IPARK,매매,59,서울특별시 강동구 상일동,513,202505,2019,138800
고덕센트럴IPARK,매매,84,서울특별시 강동구 상일동,513,202505,2019,160200
고덕센트럴푸르지오,매매,59,서울특별시 강동구 고덕동,210-1,202505,2020,116473
고덕숲아이파크,매매,59,서울특별시 강동구 상일동,515,202505,2018,124333
고덕아르테온,매매,59,서울특별시 강동구 상일동,519,202505,2020,151307
고덕아르테온,매매,84,서울특별시 강동구 상일동,519,202505,2020,181378
고덕아르테온,매매,114,서울특별시 강동구 상일동,519,202505,2020,214617
고덕자이,매매,59,서울특별시 강동구 상일동,521,202505,2021,136050
고덕자이,매매,74,서울특별시 강동구 상일동,521,202505,2021,148750
고덕자이,매매,84,서울특별시 강동구 상일동,521,202505,2021,161750
고덕주공9,매매,83,서울특별시 강동구 명일동,257,202505,1985,134000
고운아파트,매매,59,서울특별시 구로구 개봉동,484,202505,2002,43000
고척LIG리가1차,매매,84,서울특별시 구로구 고척동,340,202505,2009,82000
고척LIG리가2차,매매,59,서울특별시 구로구 고척동,340-1,202505,2009,74500
고척파크푸르지오,매매,59,서울특별시 구로구 고척동,339,202505,2009,83700
고척파크푸르지오,매매,84,서울특별시 구로구 고척동,339,202505,2009,103267
고척파크푸르지오,매매,114,서울특별시 구로구 고척동,339,202505,2009,118000
골드클래스,매매,59,서울특별시 강동구 길동,414-5,202505,2022,52000
공덕1삼성래미안,매매,114,서울특별시 마포구 공덕동,371,202505,1999,171500
공덕2삼성래미안,매매,59,서울특별시 마포구 공덕동,43,202505,2004,135900
공덕2삼성래미안,매매,84,서울특별시 마포구 공덕동,43,202505,2004,157100
